duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:00:19,1000,0.12558595215901733,63.0,63.0,6.018054162487462
0:00:39,2000,0.04394562821974978,52.0,52.0,4.914744232698094
0:00:57,3000,0.038102292264346034,51.0,51.0,4.814443329989969
0:01:12,4000,0.037057358426973226,43.0,43.0,4.012036108324975
0:01:27,5000,0.035286865731701256,45.0,45.0,4.212637913741224
0:01:44,6000,0.03417800914385589,43.0,43.0,4.012036108324975
0:02:00,7000,0.03339543816668447,45.0,45.0,4.212637913741224
0:02:17,8000,0.03397695227258373,59.0,59.0,5.616850551654965
0:02:36,9000,0.03326771922188345,54.0,54.0,5.1153460381143425
0:02:51,10000,0.03331793657294475,47.0,47.0,4.413239719157472
0:03:10,11000,0.0332589813133236,46.0,46.0,4.312938816449348
0:03:25,12000,0.03360915911424672,54.0,54.0,5.1153460381143425
0:03:40,13000,0.03349959928070893,52.0,52.0,4.914744232698094
0:03:55,14000,0.033216891407879305,50.0,50.0,4.714142427281845
0:04:10,15000,0.032463694252684944,68.0,68.0,6.519558676028084
0:04:25,16000,0.0328665083249216,58.0,58.0,5.516549648946841
0:04:39,17000,0.03246544481140154,45.0,45.0,4.212637913741224
0:04:54,18000,0.03325114884786308,49.0,49.0,4.613841524573721
0:05:08,19000,0.033557239579036835,47.0,47.0,4.413239719157472
0:05:23,20000,0.03349714601604501,58.0,58.0,5.516549648946841
0:05:38,21000,0.03273297493971768,50.0,50.0,4.714142427281845
0:05:52,22000,0.03201345485214552,63.0,63.0,6.018054162487462
0:06:09,23000,0.033083460524270775,83.0,83.0,8.02407221664995
0:06:25,24000,0.032681379094865404,56.0,56.0,5.315947843530592
0:06:42,25000,0.03284752214246692,47.0,47.0,4.413239719157472
0:06:59,26000,0.03273583779769251,63.0,63.0,6.018054162487462
0:07:14,27000,0.032916062376010816,64.0,64.0,6.118355065195587
0:07:29,28000,0.03276446822442813,60.0,60.0,5.717151454363089
0:07:47,29000,0.03238117924350081,65.0,65.0,6.218655967903711
0:08:04,30000,0.03265591423668229,67.0,67.0,6.41925777331996
0:08:20,31000,0.032868564955919284,61.0,61.0,5.817452357071214
0:08:36,32000,0.0324708352451562,68.0,68.0,6.519558676028084
0:08:53,33000,0.033274900459800846,68.0,68.0,6.519558676028084
0:09:10,34000,0.03283102130818588,91.0,91.0,8.826479438314944
0:09:26,35000,0.03294476170215057,92.0,92.0,8.926780341023068
0:09:41,36000,0.033345453438116235,83.0,83.0,8.02407221664995
0:09:57,37000,0.03272411478467984,96.0,96.0,9.327983951855568
0:10:22,38000,0.03270927097187087,121.0,121.0,11.835506519558676
0:10:38,39000,0.03327237601834349,92.0,92.0,8.926780341023068
0:10:55,40000,0.03279681924526812,83.0,83.0,8.02407221664995
0:11:15,41000,0.03330839851882774,160.0,160.0,15.747241725175526
0:11:33,42000,0.032192528261042755,89.0,89.0,8.625877632898696
0:11:50,43000,0.03239668635860653,98.0,98.0,9.528585757271815
0:12:13,44000,0.033030926038278265,114.0,114.0,11.133400200601805
0:12:30,45000,0.03257016281077813,104.0,104.0,10.130391173520561
0:12:49,46000,0.03274581505605602,131.0,131.0,12.83851554663992
0:13:07,47000,0.03173876483863569,96.0,96.0,9.327983951855568
0:13:25,48000,0.03231476171426402,141.0,141.0,13.841524573721165
0:13:43,49000,0.032001914970554934,115.0,115.0,11.23370110330993
0:14:00,50000,0.03218676006255555,109.0,109.0,10.631895687061183
0:14:18,51000,0.03257623846842762,128.0,128.0,12.537612838515546
0:14:36,52000,0.032365586049934794,140.0,140.0,13.741223671013039
0:14:56,53000,0.03320711689913878,245.0,245.0,24.2728184553661
0:15:14,54000,0.03230242780287517,133.0,133.0,13.039117352056168
0:15:30,55000,0.03274565648813586,105.0,105.0,10.230692076228685
0:15:48,56000,0.033358810785983226,142.0,142.0,13.941825476429287
0:16:05,57000,0.0330959347071439,127.0,127.0,12.437311935807422
0:16:22,58000,0.03283337625931017,114.0,114.0,11.133400200601805
0:16:39,59000,0.03172392136896815,133.0,133.0,13.039117352056168
0:17:00,60000,0.03140311324340291,265.0,265.0,26.278836509528585
0:17:17,61000,0.03320849259168608,141.0,141.0,13.841524573721165
0:17:36,62000,0.032080245736258804,172.0,172.0,16.95085255767302
0:17:53,63000,0.03256921820426942,120.0,120.0,11.735205616850552
0:18:11,64000,0.03356731461832533,128.0,128.0,12.537612838515546
0:18:29,65000,0.0317187056219027,113.0,113.0,11.033099297893681
0:18:51,66000,0.03282762601110153,155.0,155.0,15.245737211634905
0:19:14,67000,0.033165660937607755,146.0,146.0,14.343029087261785
0:19:31,68000,0.03290450141474139,113.0,113.0,11.033099297893681
0:19:50,69000,0.032145285213759055,112.0,112.0,10.932798395185557
0:20:15,70000,0.032470513783744534,112.0,112.0,10.932798395185557
0:20:33,71000,0.031998239141539674,139.0,139.0,13.640922768304915
0:21:00,72000,0.03331809880866785,103.0,103.0,10.030090270812437
0:21:21,73000,0.03397108082081104,173.0,173.0,17.051153460381144
0:21:38,74000,0.03204633250745974,119.0,119.0,11.634904714142428
0:21:56,75000,0.03234048345496558,119.0,119.0,11.634904714142428
0:22:25,76000,0.03218255770014366,119.0,119.0,11.634904714142428
0:22:43,77000,0.033076912563414225,119.0,119.0,11.634904714142428
0:23:03,78000,0.0324594155443483,123.0,123.0,12.036108324974924
0:23:24,79000,0.033772130406607176,209.0,209.0,20.661985957873622
0:23:42,80000,0.032147031875734686,135.0,135.0,13.239719157472418
0:24:02,81000,0.03287400242060539,171.0,171.0,16.850551654964896
0:24:23,82000,0.032825254809828036,187.0,187.0,18.455366098294885
0:24:46,83000,0.03210332789062522,240.0,240.0,23.771313941825476
0:25:05,84000,0.03242727950689732,121.0,121.0,11.835506519558676
0:25:23,85000,0.032609525492560354,113.0,113.0,11.033099297893681
0:25:42,86000,0.03206023604185066,176.0,176.0,17.352056168505516
0:26:01,87000,0.03237395266091335,154.0,154.0,15.14543630892678
0:26:19,88000,0.03251529338086402,119.0,119.0,11.634904714142428
0:26:37,89000,0.03308664616931128,112.0,112.0,10.932798395185557
0:26:55,90000,0.03215091434204805,131.0,131.0,12.83851554663992
0:27:12,91000,0.033961015865623265,120.0,120.0,11.735205616850552
0:27:29,92000,0.03185502825857839,121.0,121.0,11.835506519558676
0:28:02,93000,0.033490139889981944,602.0,602.0,60.0802407221665
0:28:28,94000,0.03269482844963204,374.0,374.0,37.21163490471414
0:28:49,95000,0.032445870886731426,113.0,113.0,11.033099297893681
0:29:39,96000,0.03287508466160216,1000.0,1000.0,100.0
0:29:57,97000,0.03262629943129287,132.0,132.0,12.938816449348046
0:30:20,98000,0.03303421276608242,228.0,228.0,22.567703109327983
0:30:42,99000,0.03261948836277588,128.0,128.0,12.537612838515546
0:31:02,100000,0.03220586271729553,132.0,132.0,12.938816449348046
0:31:30,101000,0.0325310195297352,412.0,412.0,41.02306920762287
0:31:49,102000,0.03266504453876405,121.0,121.0,11.835506519558676
0:32:31,103000,0.03258150488426327,1000.0,1000.0,100.0
0:33:09,104000,0.03248319118379732,765.0,765.0,76.42928786359077
0:33:33,105000,0.03202568777941269,155.0,155.0,15.245737211634905
0:33:55,106000,0.03212598990829429,212.0,212.0,20.962888665997994
0:34:24,107000,0.03309520981185778,457.0,457.0,45.53660982948847
0:34:43,108000,0.03287477978557581,119.0,119.0,11.634904714142428
0:35:00,109000,0.03296049554475394,120.0,120.0,11.735205616850552
0:35:18,110000,0.03299418716097716,126.0,126.0,12.337011033099298
0:35:39,111000,0.03336229276667109,214.0,214.0,21.163490471414242
0:35:57,112000,0.032311011704267,121.0,121.0,11.835506519558676
0:36:16,113000,0.03269879010275508,147.0,147.0,14.44332998996991
0:36:40,114000,0.031700966488715496,291.0,291.0,28.88665997993982
0:37:16,115000,0.03289174857753096,632.0,632.0,63.08926780341023
0:38:01,116000,0.03333012398408027,1000.0,1000.0,100.0
0:38:23,117000,0.03312026807262737,162.0,162.0,15.947843530591776
0:38:44,118000,0.033518670337216463,233.0,233.0,23.069207622868607
0:39:03,119000,0.03357911488700301,159.0,159.0,15.646940822467403
0:39:22,120000,0.030869441332284624,132.0,132.0,12.938816449348046
0:39:54,121000,0.032575455753059944,470.0,470.0,46.84052156469408
0:40:37,122000,0.032117045238814174,1000.0,1000.0,100.0
0:41:00,123000,0.032184057343271885,152.0,152.0,14.944834503510531
0:41:22,124000,0.03280470083921682,146.0,146.0,14.343029087261785
0:42:07,125000,0.03199837510182988,910.0,910.0,90.97291875626881
0:42:28,126000,0.0322497118350002,167.0,167.0,16.449348044132396
0:42:47,127000,0.03174710047561348,123.0,123.0,12.036108324974924
0:43:13,128000,0.03160207704169443,326.0,326.0,32.39719157472417
0:43:58,129000,0.03282994885527296,1000.0,1000.0,100.0
0:44:22,130000,0.03335949652184627,327.0,327.0,32.4974924774323
0:44:41,131000,0.03242821969990018,132.0,132.0,12.938816449348046
0:44:59,132000,0.0328283658757573,146.0,146.0,14.343029087261785
0:45:18,133000,0.03278619740321301,146.0,146.0,14.343029087261785
0:45:36,134000,0.03218216980803117,139.0,139.0,13.640922768304915
0:45:55,135000,0.032114379060731155,130.0,130.0,12.738214643931794
0:46:15,136000,0.03242638126760721,176.0,176.0,17.352056168505516
0:46:33,137000,0.03241318734631841,119.0,119.0,11.634904714142428
0:46:55,138000,0.03266805459023453,251.0,251.0,24.874623871614844
0:47:13,139000,0.03147718884257574,126.0,126.0,12.337011033099298
0:47:40,140000,0.0331596001051148,417.0,417.0,41.524573721163485
0:48:02,141000,0.03319975808213348,246.0,246.0,24.37311935807422
0:48:21,142000,0.0330351398337516,132.0,132.0,12.938816449348046
0:49:07,143000,0.0332581437873896,959.0,959.0,95.88766298896691
0:49:35,144000,0.032979591115679795,424.0,424.0,42.226680040120364
0:50:22,145000,0.03273158511056681,1000.0,1000.0,100.0
0:50:40,146000,0.03171115201740758,118.0,118.0,11.534603811434303
0:51:20,147000,0.032910658900422274,493.0,493.0,49.14744232698094
0:51:59,148000,0.032735268442193044,896.0,896.0,89.56870611835507
0:52:30,149000,0.03322221591998823,542.0,542.0,54.062186559679034
0:52:48,150000,0.03252444162747997,168.0,168.0,16.549648946840524
0:53:05,151000,0.03254520602393313,123.0,123.0,12.036108324974924
0:53:55,152000,0.0329732997300398,195.0,195.0,19.257773319959878
0:54:50,153000,0.03268690010470891,123.0,123.0,12.036108324974924
0:55:20,154000,0.0329581398724531,119.0,119.0,11.634904714142428
0:55:48,155000,0.03191806380590424,121.0,121.0,11.835506519558676
0:56:06,156000,0.032953160944358385,139.0,139.0,13.640922768304915
0:56:33,157000,0.03224251025042031,124.0,124.0,12.13640922768305
0:56:49,158000,0.03262868139189232,121.0,121.0,11.835506519558676
0:57:08,159000,0.032384020290337504,124.0,124.0,12.13640922768305
0:57:26,160000,0.032434457632480186,139.0,139.0,13.640922768304915
0:57:45,161000,0.03226528635830619,135.0,135.0,13.239719157472418
0:58:07,162000,0.03257393736205995,219.0,219.0,21.664994984954863
0:58:51,163000,0.032190741964732296,893.0,893.0,89.2678034102307
0:59:11,164000,0.03190684951592175,126.0,126.0,12.337011033099298
0:59:31,165000,0.03300888779725028,148.0,148.0,14.543630892678033
0:59:50,166000,0.032123622493087166,118.0,118.0,11.534603811434303
1:00:11,167000,0.03205263218390337,142.0,142.0,13.941825476429287
1:00:31,168000,0.032030132481944744,133.0,133.0,13.039117352056168
1:01:20,169000,0.03314508556923829,937.0,937.0,93.68104312938816
1:01:46,170000,0.033528520874754573,308.0,308.0,30.59177532597793
1:02:16,171000,0.032683839048767364,387.0,387.0,38.515546639919755
1:02:51,172000,0.03207674667671381,521.0,521.0,51.955867602808425
1:03:11,173000,0.0328531299981264,125.0,125.0,12.236710130391174
1:03:34,174000,0.032841146888502405,202.0,202.0,19.95987963891675
1:03:54,175000,0.03319461036398752,117.0,117.0,11.434302908726178
1:04:15,176000,0.03233080989541486,155.0,155.0,15.245737211634905
1:04:42,177000,0.03163170143349453,327.0,327.0,32.4974924774323
1:05:15,178000,0.031514943727917855,169.0,169.0,16.649949849548644
1:05:33,179000,0.033958135470224075,133.0,133.0,13.039117352056168
1:05:53,180000,0.03309275885409806,140.0,140.0,13.741223671013039
1:06:12,181000,0.03234500939067402,119.0,119.0,11.634904714142428
1:06:42,182000,0.031986860124568924,182.0,182.0,17.953861584754264
1:07:04,183000,0.032815762633807026,220.0,220.0,21.76529588766299
1:07:29,184000,0.03219459323724732,113.0,113.0,11.033099297893681
1:07:49,185000,0.03208619087719126,164.0,164.0,16.148445336008024
1:08:08,186000,0.031926905165346395,119.0,119.0,11.634904714142428
1:08:30,187000,0.03218849923356902,226.0,226.0,22.367101303911735
1:08:58,188000,0.03241126998475738,360.0,360.0,35.8074222668004
1:09:16,189000,0.03232510295533575,114.0,114.0,11.133400200601805
1:10:07,190000,0.03222517319890903,1000.0,1000.0,100.0
1:10:26,191000,0.032987325637077444,121.0,121.0,11.835506519558676
1:10:46,192000,0.0318544047754749,140.0,140.0,13.741223671013039
1:11:06,193000,0.03220035718620056,132.0,132.0,12.938816449348046
1:11:26,194000,0.03219836729830513,124.0,124.0,12.13640922768305
1:12:34,195000,0.03254726299423237,1000.0,1000.0,100.0
1:13:18,196000,0.03177453883799717,316.0,316.0,31.39418254764293
1:14:01,197000,0.03199153882652172,123.0,123.0,12.036108324974924
1:14:28,198000,0.032378799380641796,133.0,133.0,13.039117352056168
1:14:46,199000,0.033010770892287836,120.0,120.0,11.735205616850552
1:15:04,200000,0.032871370240842225,125.0,125.0,12.236710130391174
